Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance
LOAN00061,61,Home Loan,1945341,60,16.5,47825,17733,2022-05-04,Active,0,59,2302585,5,Married,High School,3,156890,120870,10,1,1923118,2461500,0.76,1,4,0,0,0,1,58,1804325,39,39,Average,2,0.0,55,61,131702,123200,,192140,176856,7612,0.6908,3,4,79,65,8,Average,0.8339,2,1,0,30,60,Current,1-30 DPD,1,4,Residential Property,3466233.0,0.5612,Independent House,,Tier-2,No
LOAN00062,62,Personal Loan,860670,48,10.49,22031,16843,2019-12-30,Active,0,23,1438001,6,Married,Postgraduate,12,74318,16757,10,0,380056,2274868,0.95,2,3,2,1,1,0,29,1228263,231,45,Poor,1,0.3,63,88,31364,59101,Monthly,111632,58579,815,0.61,3,3,50,64,2,Poor,0.4953,1,0,90,90,90,90+ DPD,61-90 DPD,0,43,,,,,,,
LOAN00063,63,Home Loan,741200,36,10.73,24171,9495,2021-10-27,Active,0,63,1514669,16,Divorced,Postgraduate,12,226776,277746,3,2,701815,1453599,0.5,2,2,0,0,0,3,18,1497250,90,23,Poor,5,0.99,87,3,226755,248722,Bi-Monthly,135577,90468,39179,0.3124,2,1,131,3,9,Poor,0.4933,5,4,0,0,15,Current,Current,1,32,Residential Property,940425.0,0.7882,Independent House,,Tier-1,Yes
LOAN00064,64,Personal Loan,1104533,24,8.31,50111,10866,2022-09-14,NPA,1,40,2261752,1,Single,Postgraduate,3,966521,107311,2,7,2957358,2287417,0.13,1,1,2,2,1,0,44,360288,234,21,Good,4,0.14,5,3,933851,935417,,183244,92813,105909,0.5273,7,16,146,64,9,Good,0.9516,4,4,90,90,90,90+ DPD,61-90 DPD,0,33,,,,,,,
LOAN00065,65,Personal Loan,598359,48,12.51,15907,3321,2019-12-27,Active,0,39,1519641,0,Single,High School,17,300707,84691,11,6,1890650,23446,0.32,4,8,1,1,1,0,52,1350580,142,41,Good,2,0.57,17,45,364097,350622,Monthly,130308,91520,62683,0.5058,0,4,44,98,4,Good,0.9654,2,1,90,90,90,90+ DPD,61-90 DPD,0,2,,,,,,,
LOAN00066,66,Personal Loan,1629725,12,7.0,141014,24553,2019-03-17,Closed,0,61,1016059,4,Single,Postgraduate,15,839048,103281,4,0,2293153,1047387,0.2,2,7,2,2,1,0,46,1330791,232,27,Good,3,0.59,2,52,884577,889731,Irregular,80640,43547,250281,0.5043,3,4,96,53,6,Good,0.816,3,2,60,60,60,61-90 DPD,31-60 DPD,0,45,,,,,,,
LOAN00067,67,Personal Loan,713181,60,16.27,17445,8522,2019-08-13,Active,0,48,1207014,21,Married,Postgraduate,4,98332,126848,5,0,497771,2064640,0.44,2,2,0,0,0,1,57,693178,79,30,Good,0,0.02,12,49,65098,88523,Monthly,100800,83362,20267,0.3866,2,3,162,98,7,Good,0.9244,0,0,0,0,60,Current,Current,1,62,,,,,,,
LOAN00068,68,Auto Loan,443162,12,12.94,39569,5630,2019-02-17,Active,0,56,899609,5,Single,Postgraduate,2,564128,12584,10,4,938733,498405,0.97,3,3,0,0,0,1,47,1702834,64,11,Good,3,0.68,68,92,573422,591457,Monthly,80805,68681,59604,0.3975,1,1,10,15,9,Good,0.9551,3,2,0,0,15,Current,Current,0,14,Vehicle,600026.0,0.7386,,3.0,Tier-3,Yes
LOAN00069,69,Home Loan,1222664,48,10.15,31098,19110,2019-12-17,Default,1,50,1631407,11,Single,Graduate,6,753867,110847,5,1,1242078,1437840,0.31,0,2,0,0,0,1,52,396291,197,33,Average,4,0.89,5,60,704537,717906,Monthly,142529,65212,51310,0.5406,2,14,135,70,5,Average,0.6895,4,4,0,15,15,Current,Current,0,69,Residential Property,1429169.0,0.8555,Apartment,,Tier-1,No
LOAN00070,70,Education Loan,957589,36,12.12,31860,18310,2021-08-28,Active,0,42,2118881,29,Married,High School,4,403650,72445,9,4,1085987,647723,0.0,2,4,2,2,1,1,44,617483,231,7,Average,1,0.02,73,72,380805,406019,Monthly,171375,167536,89210,0.6215,2,2,29,70,4,Average,0.736,1,0,60,60,60,61-90 DPD,31-60 DPD,0,57,,,,,,,
LOAN00071,71,Education Loan,343677,36,7.43,10679,5034,2022-11-01,NPA,1,62,1186223,3,Divorced,Graduate,13,109532,204641,10,5,2808717,2372074,0.62,3,6,0,0,0,2,55,1639382,99,43,Poor,0,0.15,54,65,109418,82666,Monthly,104926,76319,17542,0.3688,2,18,89,45,9,Poor,0.4583,0,0,0,0,0,Current,Current,0,3,,,,,,,
LOAN00072,72,Personal Loan,1509191,36,11.15,49516,19969,2021-05-08,Default,1,57,726658,2,Married,Graduate,10,159039,440627,4,6,2215823,837418,0.59,4,4,1,1,1,0,44,385528,68,13,Poor,2,0.15,24,80,245818,231053,Bi-Monthly,66169,29991,30467,0.2155,5,13,127,96,4,Poor,0.3231,2,1,90,90,90,90+ DPD,61-90 DPD,0,10,,,,,,,
LOAN00073,73,Business Loan,1678083,60,17.95,42566,16355,2019-06-16,NPA,1,54,1650222,10,Divorced,Postgraduate,2,604251,231308,3,5,137700,392373,0.47,2,5,0,0,0,0,18,665554,102,40,Average,2,0.14,23,94,634259,631840,Monthly,141909,91174,63275,0.5026,5,9,168,83,9,Average,0.7028,2,2,0,0,60,Current,Current,0,56,Machinery,2731846.0,0.6143,,,Tier-2,Yes
LOAN00074,74,Business Loan,233806,60,9.61,4922,2813,2021-05-21,Active,0,50,891365,1,Single,Graduate,10,895147,289577,11,0,383364,925454,0.9,1,6,0,0,0,0,7,911952,175,34,Poor,5,0.97,39,11,864584,891384,Monthly,75312,64142,65712,0.6743,1,3,116,71,9,Poor,0.2046,5,5,0,15,15,Current,Current,0,6,Machinery,390117.0,0.5993,,,Tier-3,Yes
LOAN00075,75,Business Loan,575375,72,7.0,9809,10269,2022-07-18,Active,0,52,892923,12,Married,Postgraduate,8,208630,26493,2,2,586651,538975,0.7,0,4,0,0,0,1,18,859642,148,52,Good,2,0.94,28,91,288976,264695,Bi-Monthly,78532,56501,57512,0.3669,1,1,34,92,8,Good,0.8677,2,1,0,30,90,Current,1-30 DPD,0,50,Machinery,742806.0,0.7746,,,Tier-2,No
LOAN00076,76,Auto Loan,475809,24,12.37,22480,6921,2019-06-26,NPA,1,32,1291423,28,Married,High School,9,401083,327533,8,4,186037,1690321,0.12,4,5,0,0,0,0,2,1160374,47,47,Poor,0,0.28,73,34,356736,346104,,113421,96808,65103,0.7656,7,6,78,33,9,Poor,0.5901,0,0,0,0,0,Current,Current,0,47,Vehicle,843628.0,0.564,,4.0,Tier-2,Yes
LOAN00077,77,Auto Loan,1470970,72,13.73,30098,10462,2019-10-20,Active,0,51,1378071,4,Married,Graduate,2,436217,349313,11,1,1738539,1836986,0.66,0,4,0,0,0,3,12,1918654,46,23,Poor,0,0.21,86,83,534579,523357,Monthly,122290,104395,26726,0.2133,3,2,89,70,0,Poor,0.5528,0,0,0,15,30,Current,Current,0,25,Vehicle,2633379.0,0.5586,,5.0,Tier-1,Yes
LOAN00078,78,Auto Loan,1511524,24,10.72,70252,28851,2020-09-26,Closed,0,32,2074770,4,Married,PhD,11,259948,37238,4,3,2987322,1429607,0.03,1,5,0,0,0,2,45,495242,38,38,Poor,0,0.76,71,2,272500,286397,Bi-Monthly,159423,178370,29786,0.4819,2,2,162,26,8,Poor,0.2855,0,0,0,0,15,Current,Current,0,12,Vehicle,1909419.0,0.7916,,12.0,Tier-1,No
LOAN00079,79,Education Loan,163417,24,15.34,7949,1484,2022-06-18,Closed,0,57,2233338,12,Married,High School,3,669694,89288,9,5,2951758,1711091,0.38,0,1,2,2,2,3,13,520060,226,35,Good,0,0.6,75,74,675648,655459,Monthly,179458,179190,36502,0.5709,2,3,149,12,2,Good,0.8419,0,0,60,60,60,61-90 DPD,31-60 DPD,0,62,,,,,,,
LOAN00080,80,Personal Loan,1668313,12,15.1,150657,32404,2019-01-12,Closed,0,62,819981,17,Married,PhD,6,359095,149711,11,0,1905461,1862434,0.67,1,1,1,1,1,0,39,1090949,107,27,Good,0,0.2,27,69,323062,312712,Irregular,71144,57795,22318,0.5221,1,3,81,49,4,Good,0.9643,0,0,60,90,90,61-90 DPD,61-90 DPD,0,35,,,,,,,
LOAN00081,81,Education Loan,1277014,24,13.1,60771,6861,2021-02-19,Closed,0,44,953558,28,Married,Graduate,10,542569,63575,2,7,2919416,566467,0.85,1,5,0,0,0,0,48,1885258,75,48,Good,0,0.83,49,2,494810,484269,Monthly,75019,34928,29760,0.6035,0,1,161,0,5,Good,0.9832,0,0,0,15,60,Current,Current,0,41,,,,,,,
LOAN00082,82,Home Loan,1985174,36,16.19,69979,13220,2020-11-06,Active,0,51,1332392,3,Married,PhD,19,118136,13710,9,7,305937,1143947,0.76,4,5,0,0,0,2,18,1957894,170,1,Average,0,0.46,22,53,109631,84924,Irregular,104169,43137,13357,0.1495,3,2,26,68,7,Average,0.6262,0,0,0,30,30,Current,1-30 DPD,3,34,Residential Property,2433984.0,0.8156,Apartment,,Tier-1,Yes
LOAN00083,83,Home Loan,1000966,36,12.68,33572,6699,2019-10-06,Active,0,48,648571,9,Married,High School,14,168650,241549,7,0,740187,1589566,0.99,0,2,0,0,0,1,10,346874,121,29,Poor,4,0.54,85,18,142610,129616,Monthly,54201,23753,28513,0.7057,2,3,89,30,8,Poor,0.5466,4,3,0,0,0,Current,Current,1,23,Residential Property,1687998.0,0.593,Independent House,,Tier-2,Yes
LOAN00084,84,Business Loan,291576,24,11.9,13711,2375,2021-12-07,Active,0,58,235952,2,Single,PhD,7,809693,478115,4,6,2530777,757792,0.99,2,5,0,0,0,0,3,1588298,130,58,Poor,0,0.7,41,22,789146,804123,Monthly,19810,8414,102191,0.281,0,0,13,43,3,Poor,0.5038,0,0,0,0,0,Current,Current,0,30,Inventory,381756.0,0.7638,,,Tier-1,Yes
LOAN00085,85,Auto Loan,1397028,24,7.01,62554,9528,2021-04-10,Closed,0,44,1366157,18,Single,Postgraduate,18,687704,201882,1,1,1993214,1170352,0.56,2,4,0,0,0,1,5,1589838,120,28,Average,4,0.0,37,93,757823,748927,Monthly,118398,98614,34421,0.6594,2,0,35,58,5,Average,0.6154,4,3,0,60,60,Current,31-60 DPD,0,13,Vehicle,2232622.0,0.6257,,9.0,Tier-1,Yes
LOAN00086,86,Home Loan,419419,36,10.46,13624,6917,2020-02-16,Active,0,63,284119,4,Single,High School,14,775767,375425,1,4,140459,297182,0.2,2,7,2,1,0,0,22,918177,61,19,Average,0,0.23,75,84,866081,859106,Monthly,24932,21757,21714,0.6387,3,0,168,64,6,Average,0.6753,0,0,30,30,60,31-60 DPD,1-30 DPD,2,33,Residential Property,628082.0,0.6678,Apartment,,Tier-2,Yes
LOAN00087,87,Home Loan,1791736,12,11.89,159101,24072,2019-04-24,Closed,0,48,1034754,25,Single,Graduate,19,468685,439454,3,0,801212,1066611,0.7,2,4,0,0,0,2,4,1482839,110,13,Poor,0,0.18,48,64,492828,466295,,86948,50947,122928,0.6036,2,4,64,79,3,Poor,0.5838,0,0,0,60,60,Current,31-60 DPD,1,42,Residential Property,2414617.0,0.742,Apartment,,Tier-2,Yes
LOAN00088,88,Home Loan,470703,60,7.0,9320,4519,2022-08-04,Active,0,58,946128,21,Married,Graduate,5,748772,5226,5,5,2064363,1409324,0.54,4,7,0,0,0,0,42,1359927,232,38,Good,5,0.58,89,77,740506,730509,,85943,79740,18891,0.4646,0,0,14,76,6,Good,0.8758,5,4,0,0,0,Current,Current,1,27,Residential Property,600202.0,0.7842,Independent House,,Tier-2,Yes
LOAN00089,89,Personal Loan,875997,72,14.69,18375,15135,2020-03-09,Active,0,53,916921,24,Divorced,PhD,17,714887,349574,4,3,124752,1690309,0.33,1,1,1,1,1,2,47,321823,182,45,Good,2,0.45,63,62,787851,768141,Monthly,83110,76741,187445,0.7709,3,2,161,37,5,Good,0.9525,2,1,90,90,90,90+ DPD,61-90 DPD,2,31,,,,,,,
LOAN00090,90,Home Loan,1996842,12,10.18,175721,12839,2021-06-26,Default,1,24,922487,17,Single,PhD,15,33277,297651,9,0,2005633,143070,0.38,4,4,0,0,0,0,6,827622,142,35,Poor,0,0.84,11,84,55676,31288,Monthly,76685,53961,8629,0.5038,4,8,63,83,4,Poor,0.5312,0,0,0,30,90,Current,1-30 DPD,0,7,Residential Property,2815734.0,0.7092,Villa,,Tier-3,Yes
LOAN00091,91,Auto Loan,1704303,36,12.96,57391,31800,2020-06-11,Active,0,28,346730,2,Single,High School,12,931366,297499,10,2,2204715,849705,0.57,1,6,0,0,0,1,26,823898,191,37,Poor,3,0.1,2,41,945577,930546,Irregular,27736,14957,222134,0.8536,0,2,145,31,3,Poor,0.2086,3,3,0,30,30,Current,1-30 DPD,1,11,Vehicle,2216988.0,0.7687,,5.0,Tier-1,No
LOAN00092,92,Personal Loan,1936122,12,13.08,173001,13111,2022-01-22,Default,1,49,2118874,13,Married,Postgraduate,6,258599,416388,3,4,2684531,1199394,0.72,3,6,0,0,0,0,12,1366289,10,10,Poor,2,0.76,6,16,248832,252949,Monthly,162168,177455,13719,0.6607,4,12,113,64,1,Poor,0.2631,2,1,0,0,0,Current,Current,0,15,,,,,,,
LOAN00093,93,Personal Loan,112036,12,14.07,10063,1569,2021-04-07,Default,1,62,2458713,26,Married,Graduate,2,86155,474627,2,2,1532002,1974228,0.52,0,5,0,0,0,0,3,129342,229,20,Average,1,0.39,6,41,90600,95855,Monthly,188493,123982,13324,0.4772,3,10,123,23,0,Average,0.6391,1,1,0,0,0,Current,Current,0,49,,,,,,,
LOAN00094,94,Business Loan,1689118,48,9.84,42710,25254,2019-09-16,Active,0,26,1422193,26,Married,Postgraduate,6,891351,168671,9,1,2887668,1799704,0.3,2,4,1,0,0,0,24,1883606,225,57,Good,1,0.07,31,9,902763,922670,,127987,126360,34950,0.6536,0,3,141,6,5,Good,0.9338,1,0,15,15,60,1-30 DPD,Current,1,14,Machinery,1996673.0,0.846,,,Tier-3,Yes
LOAN00095,95,Home Loan,968756,48,16.92,27913,16469,2020-12-25,Active,0,60,2377451,13,Married,Graduate,12,318822,442966,8,1,2293256,1425201,0.12,1,3,1,1,1,0,42,724901,182,1,Good,0,0.5,83,84,388343,369039,Monthly,185061,143937,72168,0.409,1,0,25,89,5,Good,0.978,0,0,90,90,90,90+ DPD,61-90 DPD,1,62,Residential Property,1426371.0,0.6792,Villa,,Tier-2,Yes
LOAN00096,96,Business Loan,1708659,48,8.39,42026,17020,2022-11-24,Default,1,35,1205857,2,Single,High School,5,876982,92791,11,1,643230,1027688,0.84,1,4,0,0,0,2,55,1284625,74,58,Good,5,0.69,20,14,879250,855667,Monthly,98152,41286,1800,0.6391,4,16,81,28,4,Good,0.8701,5,5,0,0,90,Current,Current,0,9,Commercial Property,2642700.0,0.6466,,,Tier-3,Yes
LOAN00097,97,Education Loan,1277192,36,9.12,40685,22560,2021-09-02,Active,0,55,1804139,19,Single,High School,17,890653,404350,8,1,2046461,1388221,0.4,1,1,0,0,0,0,1,939002,191,29,Good,1,0.68,50,28,863642,879085,Monthly,151659,140414,259721,0.6377,0,0,171,87,5,Good,0.8066,1,1,0,90,90,Current,61-90 DPD,0,44,,,,,,,
LOAN00098,98,Home Loan,1786086,12,14.67,160931,32747,2019-04-25,Active,0,56,345130,3,Divorced,Postgraduate,11,198112,78312,4,0,2780250,2256480,0.27,0,5,0,0,0,0,29,646011,234,47,Good,0,0.58,80,94,229367,255364,Monthly,26055,25707,17095,0.3977,0,0,92,40,2,Good,0.9972,0,0,0,30,30,Current,1-30 DPD,0,41,Residential Property,2342815.0,0.7624,Apartment,,Tier-2,Yes
LOAN00099,99,Education Loan,304780,12,7.0,26371,1731,2019-09-26,Closed,0,53,318505,23,Married,Graduate,15,842885,339750,11,3,1696065,1200141,0.42,1,6,0,0,0,0,16,1547230,158,30,Average,1,0.25,48,95,891736,912127,Bi-Monthly,26807,26578,50486,0.259,1,1,31,2,7,Average,0.5516,1,1,0,15,15,Current,Current,0,47,,,,,,,
LOAN00100,100,Auto Loan,138186,60,11.84,3062,1806,2022-05-13,Active,0,61,1870865,1,Single,Postgraduate,19,837458,471524,4,6,1502390,1078874,0.84,1,1,2,1,1,1,59,1674248,214,31,Average,2,0.42,81,100,921587,909290,Monthly,151147,138328,126478,0.5452,2,0,93,28,3,Average,0.698,2,1,90,90,90,90+ DPD,61-90 DPD,0,46,Vehicle,204706.0,0.675,,7.0,Tier-3,Yes
LOAN00101,101,Home Loan,1060429,48,14.26,29116,13417,2019-11-05,Default,1,48,548751,27,Single,Postgraduate,1,701181,327283,11,1,746249,45425,0.32,2,2,0,0,0,0,9,1598274,114,49,Average,5,0.48,86,94,760547,777035,Monthly,41824,46712,228955,0.4056,7,6,10,86,0,Average,0.7804,5,5,0,0,30,Current,Current,0,2,Residential Property,1866694.0,0.5681,Independent House,,Tier-2,Yes
LOAN00102,102,Home Loan,659364,48,10.89,17006,12793,2022-05-30,Default,1,21,1295690,25,Married,Graduate,12,301264,469664,1,5,1506718,1782870,0.22,2,6,0,0,0,0,16,1520482,64,36,Poor,3,0.01,13,75,375654,350773,Bi-Monthly,97266,45291,103943,0.7737,4,5,63,38,0,Poor,0.2383,3,3,0,15,30,Current,Current,0,18,Residential Property,1107089.0,0.5956,Apartment,,Tier-1,Yes
LOAN00103,103,Home Loan,195605,48,11.34,5087,3769,2021-04-16,Active,0,35,1151305,18,Single,Graduate,14,690580,243885,10,7,2413486,1211266,0.66,2,5,0,0,0,0,7,687309,100,57,Average,2,0.12,26,17,648331,633278,Monthly,92120,80196,98130,0.8065,1,1,126,20,0,Average,0.8316,2,2,0,0,15,Current,Current,0,36,Residential Property,230869.0,0.8473,Apartment,,Tier-1,Yes
LOAN00104,104,Home Loan,1356256,12,13.16,121238,17544,2019-09-12,Closed,0,62,1277516,1,Single,Graduate,1,664713,195683,6,3,766014,179223,0.73,0,1,0,0,0,2,7,981393,206,47,Good,0,0.05,91,78,643361,622878,Irregular,113374,107678,170777,0.2252,0,1,64,4,9,Good,0.8726,0,0,0,30,90,Current,1-30 DPD,0,53,Residential Property,2022515.0,0.6706,Villa,,Tier-1,Yes
LOAN00105,105,Home Loan,1886119,24,15.39,91801,36658,2019-07-17,Closed,0,53,1145757,15,Married,PhD,1,832390,477136,2,1,1228176,183676,0.25,2,3,1,1,1,0,56,520328,112,54,Average,3,0.58,22,90,914278,913504,Monthly,93013,56780,87136,0.179,1,4,77,87,8,Average,0.7919,3,2,60,60,60,61-90 DPD,31-60 DPD,0,17,Residential Property,2151247.0,0.8768,Apartment,,Tier-1,Yes
LOAN00106,106,Personal Loan,502181,72,14.75,10550,8771,2019-09-01,Active,0,57,797537,28,Divorced,Graduate,7,460758,74629,10,1,2581972,1891098,0.84,3,7,0,0,0,1,59,686465,24,24,Good,0,0.89,3,11,428105,457580,Bi-Monthly,71654,68974,13700,0.615,2,1,158,22,0,Good,0.8975,0,0,0,60,90,Current,31-60 DPD,0,16,,,,,,,
LOAN00107,107,Auto Loan,905183,36,9.25,28890,10038,2019-10-22,Active,0,48,1531404,10,Single,Postgraduate,7,490523,436775,7,1,890553,1988423,0.2,1,2,0,0,0,0,54,472602,208,47,Average,0,0.46,80,75,486226,497177,Monthly,114892,51750,90920,0.2007,0,1,22,43,6,Average,0.6873,0,0,0,15,15,Current,Current,2,24,Vehicle,1101818.0,0.8215,,3.0,Tier-2,Yes
LOAN00108,108,Business Loan,1980695,36,9.75,63679,12148,2020-08-29,NPA,1,38,445679,15,Divorced,Graduate,17,21802,439237,8,5,1360679,401591,0.16,0,2,1,0,0,0,1,982966,160,34,Poor,1,0.38,37,53,53868,76487,Monthly,36762,29561,4801,0.2812,6,14,15,49,7,Poor,0.2138,1,0,15,60,90,1-30 DPD,31-60 DPD,0,66,Inventory,3000603.0,0.6601,,,Tier-1,Yes
LOAN00109,109,Home Loan,957576,36,10.09,30938,15617,2019-12-23,NPA,1,34,1868952,23,Married,High School,17,204908,164089,5,5,1111677,209511,0.68,0,5,1,0,0,1,47,271369,34,17,Average,0,0.67,38,45,302883,307823,Bi-Monthly,170376,118869,80075,0.2845,2,14,23,82,0,Average,0.8469,0,0,15,60,90,1-30 DPD,31-60 DPD,0,10,Residential Property,1181629.0,0.8104,Apartment,,Tier-1,No
LOAN00110,110,Auto Loan,1404390,12,11.56,124489,24742,2019-12-30,Active,0,46,1027689,9,Divorced,Graduate,11,540485,19952,4,4,2626054,507593,0.87,4,8,2,2,2,1,23,532049,163,35,Poor,3,0.04,28,21,606304,578705,Monthly,94162,70941,54818,0.5864,0,0,147,58,1,Poor,0.5043,3,3,90,90,90,90+ DPD,61-90 DPD,0,11,Vehicle,1945703.0,0.7218,,1.0,Tier-2,Yes
LOAN00111,111,Auto Loan,1599238,72,10.31,29877,25122,2021-04-19,Default,1,31,865187,29,Married,Graduate,17,715058,276691,7,4,1239055,2240606,0.86,3,6,0,0,0,0,49,1404273,68,49,Average,2,0.95,96,86,776243,801810,Monthly,68852,50366,159254,0.6292,6,10,74,31,9,Average,0.8358,2,2,0,15,15,Current,Current,0,59,Vehicle,2245139.0,0.7123,,12.0,Tier-2,Yes
LOAN00112,112,Home Loan,177137,48,13.05,4756,3433,2019-10-26,Active,0,52,380885,16,Divorced,Graduate,9,432537,264851,11,6,304048,463935,0.08,4,7,1,0,0,1,55,287122,62,26,Good,1,0.92,34,54,514006,530809,,29999,23614,86029,0.3877,1,3,157,31,0,Good,0.955,1,1,15,15,90,1-30 DPD,Current,0,27,Residential Property,199562.0,0.8876,Apartment,,Tier-2,No
LOAN00113,113,Home Loan,1994983,24,12.75,94611,39239,2020-03-01,Active,0,47,1670301,1,Married,Postgraduate,13,575302,80553,9,4,1219218,2189144,0.59,3,5,2,1,0,1,27,537472,166,48,Average,4,0.16,13,73,640671,667010,Monthly,143448,150611,140965,0.6009,1,4,58,81,0,Average,0.7624,4,4,30,30,30,31-60 DPD,1-30 DPD,0,28,Residential Property,2263140.0,0.8815,Plot,,Tier-1,No
LOAN00114,114,Auto Loan,1112628,36,8.46,35102,9612,2022-02-22,Active,0,43,1936046,16,Single,Graduate,1,108841,325006,7,0,2802480,753628,0.93,4,9,1,0,0,2,8,1051311,32,24,Average,0,0.96,37,95,64821,62941,Monthly,175821,93634,8409,0.0633,2,3,144,71,7,Average,0.8312,0,0,15,15,30,1-30 DPD,Current,0,9,Vehicle,1252053.0,0.8886,,10.0,Tier-1,Yes
LOAN00115,115,Home Loan,139947,12,13.37,12523,2376,2020-10-15,Active,0,31,1679645,14,Married,Graduate,2,964630,257240,11,1,2360036,1374561,0.69,0,1,0,0,0,2,26,1254487,68,47,Average,3,0.77,37,23,966965,975417,Monthly,134964,80027,253832,0.5761,3,3,119,92,0,Average,0.6317,3,3,0,30,90,Current,1-30 DPD,0,38,Residential Property,199390.0,0.7019,Independent House,,Tier-3,Yes
LOAN00116,116,Personal Loan,556746,12,11.18,49252,5990,2021-10-19,NPA,1,54,1725551,16,Married,Graduate,18,299840,448573,2,6,913040,2223888,0.8,0,0,1,1,0,1,2,1914276,77,56,Average,2,0.04,30,16,297487,311137,Monthly,138444,110542,5044,0.3336,3,15,85,12,3,Average,0.6386,2,1,30,60,60,31-60 DPD,31-60 DPD,0,5,,,,,,,
LOAN00117,117,Business Loan,65757,36,17.4,2357,1310,2020-04-24,Closed,0,59,972705,5,Married,Graduate,19,38331,355732,1,4,2477016,1232306,0.17,4,8,1,1,1,1,20,1776588,68,59,Average,2,0.59,64,3,17536,17247,Irregular,82620,49051,1113,0.5015,3,2,117,56,4,Average,0.6524,2,2,60,90,90,61-90 DPD,61-90 DPD,0,52,Inventory,77908.0,0.844,,,Tier-1,Yes
LOAN00118,118,Home Loan,1413649,36,7.0,43649,11360,2020-06-11,Closed,0,39,1788762,6,Married,High School,17,553205,449515,8,6,1428296,1666861,0.2,4,6,0,0,0,3,14,1727614,107,52,Average,2,0.34,71,51,504456,503805,Monthly,160006,145812,58748,0.8041,3,4,132,62,6,Average,0.7869,2,1,0,15,90,Current,Current,3,68,Residential Property,2377971.0,0.5945,Apartment,,Tier-3,Yes
LOAN00119,119,Business Loan,257515,48,11.07,6664,3383,2019-08-29,Closed,0,34,505163,3,Single,High School,5,394779,276194,3,4,2970793,1988337,0.42,0,2,0,0,0,0,23,318246,11,11,Average,1,0.61,64,53,470078,443084,Monthly,38934,33753,109074,0.7172,3,2,155,54,7,Average,0.5755,1,1,0,60,60,Current,31-60 DPD,0,68,Machinery,451871.0,0.5699,,,Tier-1,No
LOAN00120,120,Home Loan,1854718,12,8.43,161707,9929,2021-01-10,Active,0,48,2135044,26,Single,PhD,19,446217,19617,8,0,1847072,1383831,0.15,4,5,1,1,0,0,21,1707329,41,41,Good,2,0.44,15,36,520608,500451,Irregular,175985,206456,113072,0.3568,3,1,77,25,1,Good,0.8789,2,1,30,30,30,31-60 DPD,1-30 DPD,2,60,Residential Property,2158952.0,0.8591,Independent House,,Tier-1,Yes
LOAN00121,121,Education Loan,249431,24,12.92,11849,3592,2020-01-16,Closed,0,23,1876706,4,Divorced,PhD,11,276323,429397,7,1,2920780,1290052,0.68,0,5,2,1,1,0,9,806431,224,48,Good,0,0.58,86,78,296990,310772,Monthly,168678,173667,14118,0.5895,0,4,69,26,7,Good,0.8096,0,0,60,60,60,61-90 DPD,31-60 DPD,2,6,,,,,,,
LOAN00122,122,Business Loan,733026,24,13.44,35001,14013,2022-10-21,Active,0,60,2218164,19,Single,Graduate,9,86752,457662,2,7,1294048,47171,0.12,4,4,1,0,0,0,18,369648,169,21,Good,0,0.3,61,70,110445,101912,Irregular,180567,169108,2434,0.3737,3,4,66,30,0,Good,0.8348,0,0,15,30,30,1-30 DPD,1-30 DPD,0,15,Commercial Property,808277.0,0.9069,,,Tier-2,Yes
LOAN00123,123,Auto Loan,916752,48,11.84,24069,14514,2019-05-29,Active,0,55,1834365,15,Single,High School,4,827880,408335,8,1,324304,1250450,0.98,1,4,2,1,1,1,28,1032523,187,20,Poor,0,0.09,35,9,830105,840812,Monthly,142728,164697,184703,0.7441,2,0,115,10,1,Poor,0.3612,0,0,60,60,60,61-90 DPD,31-60 DPD,2,27,Vehicle,1012895.0,0.9051,,0.0,Tier-1,Yes
